duration,src_bytes,dst_bytes,failed_logins,login_attempts,num_connections,same_srv_rate,diff_srv_rate,dst_host_count,packet_rate,label
24.96,5480,10888,0,3,1,0.75,0.13,2,467.84,0
132.05,28567,46041,0,2,50,0.8,0.27,8,19.18,0
66.47,21794,12584,0,1,1,0.92,0.01,1,325.14,0
214.73,20296,2862,0,3,39,0.71,0.22,1,348.43,0
1.872,442,94,0,0,320,0.48,0.75,19,481.0,1
0.387,75,28,0,0,249,0.03,0.97,174,588.92,1
147.28,26595,5551,0,2,4,0.97,0.28,10,58.4,0
4.99,1894,468,20,32,121,0.94,0.02,4,209.69,1
46.59,47541,75061,0,2,6,0.93,0.21,3,467.25,0
0.667,80,30,0,0,438,0.03,0.77,218,2478.83,1
0.372,58,23,0,0,189,0.23,0.87,120,1118.96,1
177.85,21462,55027,0,1,48,0.9,0.1,2,169.8,0
191.05,44784,4080,0,2,12,0.7,0.03,4,233.07,0
0.872,115,120,0,0,57,0.35,0.65,98,2310.14,1
279.14,9445,39193,0,1,43,0.96,0.06,10,19.1,0
264.88,9429,18537,0,1,17,0.74,0.26,8,423.21,0
124.04,30170,24156,0,2,18,0.81,0.07,2,432.88,0
1.703,321,163,0,0,204,0.13,0.68,95,581.29,1
156.68,17799,52531,0,3,39,0.98,0.3,7,246.73,0
125.8,23511,40372,0,3,30,0.97,0.12,8,170.06,0
0.7,310,155,40,51,246,0.98,0.04,3,1917.33,1
0.51,81,39,0,0,543,0.14,0.79,172,3333.1,1
0.386,52,31,0,0,377,0.26,0.89,116,788.5,1
4.57,232,132,46,74,315,0.83,0.02,2,1148.36,1
0.398,147,83,0,0,455,0.14,0.95,10,770.07,1
1.407,335,186,0,0,79,0.37,0.72,53,2893.21,1
38.1,12614,45145,0,3,38,0.87,0.26,9,298.77,0
185.58,25051,81087,0,3,41,0.93,0.14,5,90.32,0
0.398,78,7,0,0,222,0.16,0.72,67,2867.37,1
0.037,79,11,0,0,709,0.12,0.92,182,723.26,1
207.95,31188,58247,0,2,18,0.88,0.05,7,267.97,0
294.93,21277,18384,0,3,27,0.9,0.28,10,483.9,0
4.44,48965,78775,0,1,48,0.96,0.28,9,36.51,0
3.36,453,249,15,39,76,0.96,0.04,3,155.78,1
5.13,42167,81210,0,1,18,0.92,0.21,4,11.77,0
258.12,21412,62510,0,2,35,0.98,0.16,3,485.08,0
2.47,69,53,36,69,66,0.92,0.01,1,319.58,1
29.99,35068,81608,0,1,3,0.76,0.11,7,58.62,0
167.99,28682,55414,0,3,3,0.76,0.08,1,136.61,0
